Packetlevel,Neighbour,Component,Depth,Train_AUC,Test_AUC,Train_TPR,Test_TPR,Train_FPR,Test_FPR
4,36,7,10,1.0,0.998,1.0,0.880952,0.774775,0.97619
4,36,7,11,1.0,0.998,1.0,0.880952,0.774775,0.97619
4,36,8,2,1.0,0.998,1.0,0.952381,0.783784,0.904762
4,36,8,3,1.0,0.998,1.0,0.952381,0.774775,0.964286
4,36,8,4,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,36,8,5,1.0,0.998,1.0,0.928571,0.774775,1.011905
4,36,8,6,1.0,0.998,1.0,0.928571,0.774775,1.02381
4,36,8,7,1.0,0.998,1.0,0.928571,0.774775,1.02381
4,36,8,8,1.0,0.998,1.0,0.904762,0.774775,1.02381
4,36,8,9,1.0,0.998,1.0,0.904762,0.774775,1.02381
4,36,8,10,1.0,0.998,1.0,0.904762,0.774775,1.02381
4,36,8,11,1.0,0.998,1.0,0.904762,0.774775,1.02381
4,36,9,2,1.0,0.998,1.0,0.952381,0.783784,0.916667
4,36,9,3,1.0,0.998,1.0,0.928571,0.774775,0.940476
4,36,9,4,1.0,0.998,1.0,0.928571,0.774775,0.928571
4,36,9,5,1.0,0.998,1.0,0.928571,0.774775,1.047619
4,36,9,6,1.0,0.998,1.0,0.904762,0.774775,0.97619
4,36,9,7,1.0,0.998,1.0,0.880952,0.774775,0.964286
4,36,9,8,1.0,0.998,1.0,0.952381,0.774775,1.059524
4,36,9,9,1.0,0.998,1.0,0.952381,0.774775,1.059524
4,36,9,10,1.0,0.998,1.0,0.952381,0.774775,1.059524
4,36,9,11,1.0,0.998,1.0,0.952381,0.774775,1.059524
4,36,10,2,1.0,0.998,1.0,0.952381,0.783784,0.916667
4,36,10,3,1.0,0.998,1.0,0.928571,0.774775,0.97619
4,36,10,4,1.0,0.998,1.0,0.928571,0.774775,0.904762
4,36,10,5,1.0,0.998,1.0,0.928571,0.774775,1.035714
4,36,10,6,1.0,0.998,1.0,0.904762,0.774775,0.952381
4,36,10,7,1.0,0.998,1.0,0.880952,0.774775,0.964286
4,36,10,8,1.0,0.998,1.0,0.880952,0.774775,0.964286
4,36,10,9,1.0,0.998,1.0,0.880952,0.774775,0.964286
4,36,10,10,1.0,0.998,1.0,0.880952,0.774775,0.964286
4,36,10,11,1.0,0.998,1.0,0.880952,0.774775,0.964286
4,36,11,2,1.0,0.998,1.0,0.952381,0.783784,0.916667
4,36,11,3,1.0,0.998,1.0,0.952381,0.774775,0.988095
